SSID,X,Y,RSSI (avg)
ESP_Beacon_three,0,1,-61.08699876519231
ESP_Beacon_three,0,2,-50.6936525217336
ESP_Beacon_three,0,3,-56.6936525217336
ESP_Beacon_three,0,4,-58.557041965434145
ESP_Beacon_three,0,5,-59.35486325106115
ESP_Beacon_three,0,6,-61.51955132411394
ESP_Beacon_three,0,7,-66.55704196543414
ESP_Beacon_three,0,8,-67.35486325106115
ESP_Beacon_three,0,9,-65.51955132411395
ESP_Beacon_three,0,10,-72.6936525217336
ESP_Beacon_three,0,11,-65.81644866380495
ESP_Beacon_three,0,12,-70.0
ESP_Beacon_three,0,13,-74.0
ESP_Beacon_three,0,14,-70.0
ESP_Beacon_three,0,15,-70.33299223588766
ESP_Beacon_three,0,16,-72.33299223588766
ESP_Beacon_three,0,17,-73.51955132411393
ESP_Beacon_three,0,18,-69.46662124713274
ESP_Beacon_three,0,19,-77.81644866380495
ESP_Beacon_three,0,20,-76.0
ESP_Beacon_three,0,21,-78.33299223588766
ESP_Beacon_three,0,22,-78.33299223588766
ESP_Beacon_three,0,23,-74.6936525217336
ESP_Beacon_three,0,24,-77.51955132411393
ESP_Beacon_three,0,25,-82.6936525217336
ESP_Beacon_three,1,1,-58.0
ESP_Beacon_three,1,2,-50.0
ESP_Beacon_three,1,3,-52.33299223588766
ESP_Beacon_three,1,4,-58.557041965434145
ESP_Beacon_three,1,5,-61.51955132411394
ESP_Beacon_three,1,6,-64.33299223588766
ESP_Beacon_three,1,7,-64.6936525217336
ESP_Beacon_three,1,8,-66.0
ESP_Beacon_three,1,9,-66.0
ESP_Beacon_three,1,10,-66.72455187380659
ESP_Beacon_three,1,11,-68.6936525217336
ESP_Beacon_three,1,12,-67.51955132411393
ESP_Beacon_three,1,13,-66.33299223588766
ESP_Beacon_three,1,14,-66.39052334930021
ESP_Beacon_three,1,15,-70.0
ESP_Beacon_three,1,16,-72.33299223588766
ESP_Beacon_three,1,17,-75.19619278838923
ESP_Beacon_three,1,18,-74.90112949065309
ESP_Beacon_three,1,19,-74.93765782790578
ESP_Beacon_three,1,20,-73.51955132411393
ESP_Beacon_three,1,21,-76.6936525217336
ESP_Beacon_three,1,22,-77.51955132411393
ESP_Beacon_three,1,23,-77.81644866380495
ESP_Beacon_three,1,24,-77.0869987651923
ESP_Beacon_three,1,25,-73.35066751275566
ESP_Beacon_three,2,1,-56.6936525217336
ESP_Beacon_three,2,2,-55.81644866380494
ESP_Beacon_three,2,3,-56.33299223588765
ESP_Beacon_three,2,4,-61.08699876519231
ESP_Beacon_three,2,5,-62.0
ESP_Beacon_three,2,6,-62.0
ESP_Beacon_three,2,7,-64.0
ESP_Beacon_three,2,8,-64.33299223588766
ESP_Beacon_three,2,9,-66.0
ESP_Beacon_three,2,10,-67.51955132411393
ESP_Beacon_three,2,11,-67.0869987651923
ESP_Beacon_three,2,12,-70.0
ESP_Beacon_three,2,13,-70.0
ESP_Beacon_three,2,14,-70.0
ESP_Beacon_three,2,15,-73.0869987651923
ESP_Beacon_three,2,16,-72.6936525217336
ESP_Beacon_three,2,17,-75.0869987651923
ESP_Beacon_three,2,18,-72.17469567306794
ESP_Beacon_three,2,19,-79.81644866380495
ESP_Beacon_three,2,20,-78.55704196543415
ESP_Beacon_three,2,21,-78.0
ESP_Beacon_three,2,22,-77.0869987651923
ESP_Beacon_three,2,23,-78.33299223588766
ESP_Beacon_three,2,24,-75.66193713943673
ESP_Beacon_three,2,25,-81.81644866380495
ESP_Beacon_three,3,1,-61.51955132411394
ESP_Beacon_three,3,2,-62.0
ESP_Beacon_three,3,3,-62.0
ESP_Beacon_three,3,4,-62.33299223588766
ESP_Beacon_three,3,5,-66.0
ESP_Beacon_three,3,6,-63.51955132411394
ESP_Beacon_three,3,7,-62.0
ESP_Beacon_three,3,8,-64.13514198909138
ESP_Beacon_three,3,9,-66.0
ESP_Beacon_three,3,10,-67.51955132411393
ESP_Beacon_three,3,11,-70.55704196543415
ESP_Beacon_three,3,12,-71.81644866380495
ESP_Beacon_three,3,13,-71.81644866380495
ESP_Beacon_three,3,14,-71.35486325106115
ESP_Beacon_three,3,15,-74.33299223588766
ESP_Beacon_three,3,16,-74.0
ESP_Beacon_three,3,17,-77.51955132411393
ESP_Beacon_three,3,18,-74.33299223588766
ESP_Beacon_three,3,19,-75.21568438651738
ESP_Beacon_three,3,20,-74.39052334930021
ESP_Beacon_three,3,21,-78.0
ESP_Beacon_three,3,22,-77.51955132411393
ESP_Beacon_three,3,23,-77.81644866380495
ESP_Beacon_three,3,24,-80.0
ESP_Beacon_three,3,25,-78.33299223588766
ESP_Beacon_three,4,1,-66.5738609133997
ESP_Beacon_three,4,2,-62.6936525217336
ESP_Beacon_three,4,3,-65.3146687291777
ESP_Beacon_three,4,4,-68.33299223588766
ESP_Beacon_three,4,5,-64.33299223588766
ESP_Beacon_three,4,6,-70.0
ESP_Beacon_three,4,7,-68.6936525217336
ESP_Beacon_three,4,8,-66.33299223588766
ESP_Beacon_three,4,9,-65.0869987651923
ESP_Beacon_three,4,10,-66.0
ESP_Beacon_three,4,11,-70.33299223588766
ESP_Beacon_three,4,12,-67.64034143198974
ESP_Beacon_three,4,13,-76.47908685027869
ESP_Beacon_three,4,14,-77.81644866380495
ESP_Beacon_three,4,15,-79.64034143198974
ESP_Beacon_three,4,16,-82.85263186564026
ESP_Beacon_three,4,17,-82.13514198909137
ESP_Beacon_three,4,18,-79.85319189027811
ESP_Beacon_three,4,19,-82.6936525217336
ESP_Beacon_three,4,20,-80.13514198909137
ESP_Beacon_three,4,21,-78.6936525217336
ESP_Beacon_three,4,22,-80.93765782790578
ESP_Beacon_three,4,23,-82.13514198909137
ESP_Beacon_three,4,24,-79.64034143198974
ESP_Beacon_three,4,25,-80.33299223588764
ESP_Beacon_three,5,1,-69.51955132411393
ESP_Beacon_three,5,2,-68.33886071494366
ESP_Beacon_three,5,3,-63.81644866380495
