,X,Y,RSSI_AP1,RSSI_AP2,RSSI_AP3
0,0,1,-40.6936525217336,-49.519551324113934,-76.13514198909137
1,0,2,-39.08699876519231,-48.0,-70.0
2,0,3,-38.0,-49.519551324113934,-70.33299223588766
3,0,4,-37.08699876519231,-48.0,-69.0869987651923
4,0,5,-38.0,-52.0,-68.33299223588766
5,0,6,-40.6936525217336,-49.08699876519231,-66.0
6,0,7,-42.0,-52.33299223588766,-64.33299223588766
7,0,8,-48.6936525217336,-56.33299223588765,-62.0
8,0,9,-52.0,-48.6936525217336,-62.0
9,0,10,-49.08699876519231,-50.0,-60.6936525217336
10,0,11,-50.0,-59.519551324113934,-58.55704196543415
11,0,12,-49.519551324113934,-57.08699876519231,-58.0
12,0,13,-46.0,-64.0,-58.0
13,0,14,-46.33299223588765,-60.33299223588766,-52.6936525217336
14,0,15,-50.0,-63.196192788389226,-56.33299223588765
15,0,16,-58.55704196543415,-52.33299223588766,-58.33299223588766
16,0,19,-42.0,-45.519551324113934,-67.66193713943673
17,0,20,-43.51955132411394,-46.0,-62.0
18,0,21,-46.6936525217336,-49.3864851750093,-64.6936525217336
19,0,22,-42.6936525217336,-50.0,-67.35486325106115
20,0,23,-42.6936525217336,-52.0,-67.0869987651923
21,0,24,-42.33299223588766,-52.0,-66.33299223588766
22,0,25,-45.08699876519231,-59.519551324113934,-68.47908685027868
23,1,1,-46.0,-47.519551324113934,-72.33299223588766
24,1,2,-42.55704196543415,-50.0,-69.72383315632278
25,1,3,-44.47908685027869,-49.08699876519231,-68.6936525217336
26,1,4,-40.0,-50.0,-66.0
27,1,5,-49.81644866380495,-49.519551324113934,-66.90112949065309
28,1,6,-47.08699876519231,-48.0,-66.0
29,1,7,-48.0,-52.0,-65.0869987651923
30,1,8,-53.08699876519231,-56.6936525217336,-62.33299223588766
31,1,9,-46.33299223588765,-49.08699876519231,-62.33299223588766
32,1,10,-48.33299223588766,-50.0,-61.51955132411394
33,1,11,-50.958256317158366,-50.0,-62.0
34,1,12,-54.6936525217336,-52.85263186564026,-59.35486325106115
35,1,13,-47.08699876519231,-54.33299223588766,-61.08699876519231
36,1,14,-63.62728592148208,-52.0,-58.0
37,1,15,-50.0,-49.08699876519231,-66.0
38,1,16,-52.0,-50.33299223588766,-67.0869987651923
39,1,21,-40.6936525217336,-46.55704196543415,-63.51955132411394
40,1,22,-41.51955132411394,-46.0,-66.33299223588766
41,1,23,-42.0,-51.51955132411394,-67.64034143198974
42,1,24,-42.0,-50.0,-66.33886071494366
43,1,25,-43.35486325106115,-56.33299223588765,-74.0
44,2,1,-57.66927286489668,-50.0,-72.33299223588766
45,2,2,-46.33299223588765,-50.6936525217336,-72.33299223588766
46,2,3,-45.08699876519231,-49.3421305997845,-70.33299223588766
47,2,4,-45.81644866380494,-52.0,-67.64034143198974
48,2,5,-49.519551324113934,-50.33299223588766,-66.0
49,2,6,-46.6936525217336,-48.6936525217336,-66.0
50,2,7,-44.6936525217336,-52.33299223588766,-65.51955132411395
51,2,8,-53.53279080303808,-55.51955132411394,-62.6936525217336
52,2,9,-50.36142112974052,-55.51955132411394,-63.20394205564408
53,2,10,-58.31704919589715,-49.519551324113934,-61.833923735416974
54,2,11,-54.47908685027869,-52.0,-62.33299223588766
55,2,12,-56.135141989091366,-58.0,-66.33886071494366
56,2,13,-56.33299223588765,-58.33299223588766,-66.0
57,2,14,-51.81644866380495,-50.6936525217336,-72.16005670251964
58,2,15,-63.35486325106115,-48.33299223588766,-66.0
59,2,16,-49.08699876519231,-64.6936525217336,-70.93765782790578
60,2,17,-59.08699876519231,-52.0,-75.51955132411395
61,2,21,-42.0,-46.95602057068755,-65.0869987651923
62,2,22,-42.33299223588766,-47.519551324113934,-66.55704196543414
63,2,23,-42.96899155781724,-49.08699876519231,-67.66193713943673
64,2,24,-42.0,-50.0,-70.80034413966519
65,2,25,-43.81644866380495,-56.33299223588765,-68.11102200875224
66,3,1,-45.08699876519231,-50.6936525217336,-74.0
67,3,2,-47.81644866380495,-48.6936525217336,-74.71101000645952
68,3,3,-41.51955132411394,-50.0,-70.6936525217336
69,3,4,-44.47908685027869,-50.0,-70.0
70,3,5,-44.33299223588766,-49.08699876519231,-68.6936525217336
71,3,6,-49.519551324113934,-50.0,-68.6936525217336
72,3,7,-46.0,-50.0,-67.0869987651923
73,3,8,-50.135141989091366,-56.0,-65.51955132411395
74,3,9,-45.519551324113934,-63.81644866380495,-66.0
75,3,10,-51.20394205564408,-65.51955132411395,-65.51955132411395
76,3,11,-47.08699876519231,-60.0,-65.0869987651923
77,3,12,-50.33299223588766,-56.6936525217336,-69.51955132411393
78,3,13,-53.08699876519231,-57.08699876519231,-66.6936525217336
79,3,14,-51.51955132411394,-56.0,-70.33299223588766
80,3,15,-50.33299223588766,-57.08699876519231,-80.47908685027869
81,3,16,-58.0,-57.519551324113934,-81.0869987651923
82,3,17,-52.13514198909137,-49.08699876519231,-78.6936525217336
83,3,21,-42.33299223588766,-52.0,-66.93765782790577
84,3,22,-41.08699876519231,-49.519551324113934,-69.0869987651923
85,3,23,-56.16005670251965,-61.08699876519231,-76.71101000645952
86,3,24,-46.0,-54.0,-79.35486325106115
87,3,25,-49.389299010641295,-63.51955132411394,-76.6936525217336
88,4,1,-32.96899155781724,-46.33299223588765,-70.05325867871589
89,4,2,-34.33299223588766,-45.08699876519231,-69.51955132411393
90,5,2,-35.086998765192305,-53.81644866380495,-68.13514198909137
91,6,2,-46.968415130872245,-48.135141989091366,-72.13514198909137
92,6,3,-42.0,-49.08699876519231,-70.33299223588766
93,6,4,-48.71101000645952,-49.519551324113934,-73.51955132411393
94,6,5,-50.0,-52.0,-70.0
95,6,6,-52.37546068740384,-53.08699876519231,-67.35486325106115
96,6,7,-50.0,-58.135141989091366,-65.0869987651923
97,6,8,-50.71101000645952,-56.33299223588765,-62.93765782790578
