SSID,X,Y,RSSI (avg)
ESP_Beacon_one,0,1,-40.6936525217336
ESP_Beacon_one,0,2,-39.086998765192305
ESP_Beacon_one,0,3,-38.0
ESP_Beacon_one,0,4,-37.086998765192305
ESP_Beacon_one,0,5,-38.0
ESP_Beacon_one,0,6,-40.6936525217336
ESP_Beacon_one,0,7,-42.0
ESP_Beacon_one,0,8,-48.6936525217336
ESP_Beacon_one,0,9,-52.0
ESP_Beacon_one,0,10,-49.086998765192305
ESP_Beacon_one,0,11,-50.0
ESP_Beacon_one,0,12,-49.519551324113934
ESP_Beacon_one,0,13,-46.0
ESP_Beacon_one,0,14,-46.33299223588765
ESP_Beacon_one,0,15,-50.0
ESP_Beacon_one,0,16,-58.557041965434145
ESP_Beacon_one,0,19,-42.0
ESP_Beacon_one,0,20,-43.51955132411394
ESP_Beacon_one,0,21,-46.6936525217336
ESP_Beacon_one,0,22,-42.6936525217336
ESP_Beacon_one,0,23,-42.6936525217336
ESP_Beacon_one,0,24,-42.33299223588766
ESP_Beacon_one,0,25,-45.086998765192305
ESP_Beacon_one,1,1,-46.0
ESP_Beacon_one,1,2,-42.55704196543415
ESP_Beacon_one,1,3,-44.479086850278684
ESP_Beacon_one,1,4,-40.0
ESP_Beacon_one,1,5,-49.81644866380495
ESP_Beacon_one,1,6,-47.086998765192305
ESP_Beacon_one,1,7,-48.0
ESP_Beacon_one,1,8,-53.08699876519231
ESP_Beacon_one,1,9,-46.33299223588765
ESP_Beacon_one,1,10,-48.33299223588766
ESP_Beacon_one,1,11,-50.958256317158366
ESP_Beacon_one,1,12,-54.693652521733604
ESP_Beacon_one,1,13,-47.086998765192305
ESP_Beacon_one,1,14,-63.627285921482084
ESP_Beacon_one,1,15,-50.0
ESP_Beacon_one,1,16,-52.0
ESP_Beacon_one,1,21,-40.6936525217336
ESP_Beacon_one,1,22,-41.51955132411394
ESP_Beacon_one,1,23,-42.0
ESP_Beacon_one,1,24,-42.0
ESP_Beacon_one,1,25,-43.35486325106115
ESP_Beacon_one,2,1,-57.669272864896676
ESP_Beacon_one,2,2,-46.33299223588765
ESP_Beacon_one,2,3,-45.086998765192305
ESP_Beacon_one,2,4,-45.81644866380494
ESP_Beacon_one,2,5,-49.519551324113934
ESP_Beacon_one,2,6,-46.6936525217336
ESP_Beacon_one,2,7,-44.693652521733604
ESP_Beacon_one,2,8,-53.53279080303808
ESP_Beacon_one,2,9,-50.36142112974052
ESP_Beacon_one,2,10,-58.31704919589715
ESP_Beacon_one,2,11,-54.479086850278684
ESP_Beacon_one,2,12,-56.135141989091366
ESP_Beacon_one,2,13,-56.33299223588765
ESP_Beacon_one,2,14,-51.81644866380495
ESP_Beacon_one,2,15,-63.35486325106115
ESP_Beacon_one,2,16,-49.086998765192305
ESP_Beacon_one,2,17,-59.086998765192305
ESP_Beacon_one,2,21,-42.0
ESP_Beacon_one,2,22,-42.33299223588766
ESP_Beacon_one,2,23,-42.96899155781724
ESP_Beacon_one,2,24,-42.0
ESP_Beacon_one,2,25,-43.81644866380495
ESP_Beacon_one,3,1,-45.086998765192305
ESP_Beacon_one,3,2,-47.81644866380495
ESP_Beacon_one,3,3,-41.51955132411394
ESP_Beacon_one,3,4,-44.479086850278684
ESP_Beacon_one,3,5,-44.33299223588766
ESP_Beacon_one,3,6,-49.519551324113934
ESP_Beacon_one,3,7,-46.0
ESP_Beacon_one,3,8,-50.135141989091366
ESP_Beacon_one,3,9,-45.519551324113934
ESP_Beacon_one,3,10,-51.20394205564408
ESP_Beacon_one,3,11,-47.086998765192305
ESP_Beacon_one,3,12,-50.33299223588766
ESP_Beacon_one,3,13,-53.08699876519231
ESP_Beacon_one,3,14,-51.51955132411394
ESP_Beacon_one,3,15,-50.33299223588766
ESP_Beacon_one,3,16,-58.0
ESP_Beacon_one,3,17,-52.13514198909137
ESP_Beacon_one,3,21,-42.33299223588766
ESP_Beacon_one,3,22,-41.08699876519231
ESP_Beacon_one,3,23,-56.16005670251965
ESP_Beacon_one,3,24,-46.0
ESP_Beacon_one,3,25,-49.389299010641295
ESP_Beacon_one,4,1,-32.96899155781724
ESP_Beacon_one,4,2,-34.33299223588766
ESP_Beacon_one,5,2,-35.086998765192305
ESP_Beacon_one,6,2,-46.968415130872245
ESP_Beacon_one,6,3,-42.0
ESP_Beacon_one,6,4,-48.71101000645952
ESP_Beacon_one,6,5,-50.0
ESP_Beacon_one,6,6,-52.375460687403844
ESP_Beacon_one,6,7,-50.0
ESP_Beacon_one,6,8,-50.711010006459524
ESP_Beacon_one,6,9,-50.6936525217336
ESP_Beacon_one,6,10,-59.81644866380495
ESP_Beacon_one,6,11,-54.86398418587007
ESP_Beacon_one,6,12,-61.51955132411394
ESP_Beacon_one,6,13,-50.6936525217336
ESP_Beacon_one,6,14,-47.35486325106115
ESP_Beacon_one,6,15,-52.33299223588766
ESP_Beacon_one,6,21,-46.33299223588765
ESP_Beacon_one,6,22,-51.08699876519231
ESP_Beacon_one,6,23,-48.6936525217336
ESP_Beacon_one,6,24,-49.086998765192305
ESP_Beacon_one,6,25,-52.0
ESP_Beacon_one,-1,1,-33.09898141385036
ESP_Beacon_one,-2,1,-29.372844589550247
ESP_Beacon_one,-3,1,-30.33299223588766
ESP_Beacon_one,-4,1,-30.0
ESP_Beacon_one,-5,1,-30.0
ESP_Beacon_one,-6,1,-34.0
ESP_Beacon_one,-7,1,-34.0
ESP_Beacon_one,-8,1,-30.33299223588766
ESP_Beacon_one,-9,1,-34.0
ESP_Beacon_one,-10,1,-33.51955132411394
ESP_Beacon_one,-11,1,-39.81644866380495
ESP_Beacon_one,-12,1,-41.85476304968805
ESP_Beacon_one,-13,1,-42.968928055897564
ESP_Beacon_one,-1,2,-32.6936525217336
ESP_Beacon_one,-2,2,-40.0
ESP_Beacon_one,-3,2,-34.0
ESP_Beacon_one,-4,2,-33.086998765192305
ESP_Beacon_one,-5,2,-31.816448663804948
ESP_Beacon_one,-6,2,-28.68250582637274
ESP_Beacon_one,-7,2,-30.0
ESP_Beacon_one,-8,2,-30.33299223588766
ESP_Beacon_one,-9,2,-33.086998765192305
ESP_Beacon_one,-10,2,-32.33299223588766
ESP_Beacon_one,-11,2,-36.33299223588766
ESP_Beacon_one,-12,2,-38.0
ESP_Beacon_one,-13,2,-40.0
ESP_Beacon_one,-14,2,-38.33299223588766
ESP_Beacon_one,-15,2,-40.6936525217336
ESP_Beacon_one,-16,2,-41.08699876519231
ESP_Beacon_one,-17,2,-42.93765782790578
ESP_Beacon_one,-18,2,-42.33299223588766
ESP_Beacon_one,-19,2,-43.08699876519231
ESP_Beacon_one,-1,3,-36.33299223588766
ESP_Beacon_one,-2,3,-34.0
ESP_Beacon_one,-3,3,-38.0
ESP_Beacon_one,-4,3,-33.51955132411394
ESP_Beacon_one,-5,3,-37.086998765192305
ESP_Beacon_one,-6,3,-34.937657827905774
ESP_Beacon_one,-7,3,-32.33299223588766
ESP_Beacon_one,-8,3,-31.086998765192305
ESP_Beacon_one,-9,3,-32.479086850278684
ESP_Beacon_one,-10,3,-33.51955132411394
ESP_Beacon_one,-11,3,-34.0
ESP_Beacon_one,-12,3,-38.0
ESP_Beacon_one,-13,3,-36.47908685027868
ESP_Beacon_one,-14,3,-36.6936525217336
ESP_Beacon_one,-15,3,-37.81644866380495
ESP_Beacon_one,-16,3,-38.0
ESP_Beacon_one,-17,3,-39.086998765192305
ESP_Beacon_one,-18,3,-40.6936525217336
ESP_Beacon_one,-19,3,-42.0
ESP_Beacon_one,-1,4,-38.0
ESP_Beacon_one,-2,4,-38.0
ESP_Beacon_one,-3,4,-38.0
ESP_Beacon_one,-4,4,-37.51955132411394
ESP_Beacon_one,-5,4,-37.086998765192305
ESP_Beacon_one,-6,4,-32.6936525217336
ESP_Beacon_one,-7,4,-33.51955132411394
ESP_Beacon_one,-8,4,-34.0
ESP_Beacon_one,-9,4,-33.51955132411394
ESP_Beacon_one,-10,4,-33.086998765192305
ESP_Beacon_one,-11,4,-34.0
ESP_Beacon_one,-12,4,-34.0
ESP_Beacon_one,-13,4,-35.086998765192305
ESP_Beacon_one,-14,4,-37.51955132411394
ESP_Beacon_one,-15,4,-38.0
ESP_Beacon_one,-16,4,-39.519551324113934
ESP_Beacon_one,-17,4,-39.35486325106115
ESP_Beacon_one,-18,4,-39.086998765192305
ESP_Beacon_one,-19,4,-42.55704196543415
ESP_Beacon_one,-1,5,-35.81644866380495
ESP_Beacon_one,-2,5,-36.33299223588766
ESP_Beacon_one,-3,5,-38.6936525217336
ESP_Beacon_one,-4,5,-42.0
ESP_Beacon_one,-5,5,-38.937657827905774
ESP_Beacon_one,-6,5,-39.854960744700506
ESP_Beacon_one,-7,5,-35.64034143198975
ESP_Beacon_one,-8,5,-36.33299223588766
ESP_Beacon_one,-9,5,-34.557041965434145
ESP_Beacon_one,-10,5,-34.557041965434145
ESP_Beacon_one,-11,5,-36.0
ESP_Beacon_one,-12,5,-37.086998765192305
ESP_Beacon_one,-13,5,-37.086998765192305
ESP_Beacon_one,-14,5,-38.0
ESP_Beacon_one,-15,5,-36.74083166077803
ESP_Beacon_one,-16,5,-38.0
ESP_Beacon_one,-17,5,-41.08699876519231
ESP_Beacon_one,-18,5,-40.0
ESP_Beacon_one,-19,5,-41.51955132411394
ESP_Beacon_one,-1,6,-35.086998765192305
ESP_Beacon_one,-2,6,-36.85263186564026
ESP_Beacon_one,-3,6,-41.51955132411394
ESP_Beacon_one,-4,6,-42.014790855263435
ESP_Beacon_one,-5,6,-42.0
ESP_Beacon_one,-6,6,-40.6936525217336
ESP_Beacon_one,-7,6,-38.0
ESP_Beacon_one,-8,6,-37.086998765192305
ESP_Beacon_one,-9,6,-36.937657827905774
ESP_Beacon_one,-10,6,-37.51955132411394
ESP_Beacon_one,-11,6,-36.6936525217336
ESP_Beacon_one,-12,6,-37.086998765192305
ESP_Beacon_one,-13,6,-36.6936525217336
ESP_Beacon_one,-14,6,-38.0
ESP_Beacon_one,-15,6,-36.47908685027868
ESP_Beacon_one,-16,6,-38.0
ESP_Beacon_one,-17,6,-38.0
ESP_Beacon_one,-18,6,-38.937657827905774
ESP_Beacon_one,-19,6,-41.08699876519231
ESP_Beacon_one,0,-1,-38.0
ESP_Beacon_one,-1,-1,-39.35486325106115
ESP_Beacon_one,-2,-1,-37.51955132411394
ESP_Beacon_one,-3,-1,-43.08699876519231
ESP_Beacon_one,-4,-1,-45.086998765192305
ESP_Beacon_one,-5,-1,-45.086998765192305
ESP_Beacon_one,-6,-1,-43.38759331543106
ESP_Beacon_one,-7,-1,-43.196192788389226
ESP_Beacon_one,-8,-1,-40.6936525217336
ESP_Beacon_one,-9,-1,-41.35486325106115
ESP_Beacon_one,-10,-1,-40.33299223588766
ESP_Beacon_one,-11,-1,-40.0
ESP_Beacon_one,-12,-1,-40.6936525217336
ESP_Beacon_one,-13,-1,-38.0
ESP_Beacon_one,-14,-1,-40.135141989091366
ESP_Beacon_one,-15,-1,-42.958256317158366
ESP_Beacon_one,-16,-1,-42.55704196543415
ESP_Beacon_one,-17,-1,-41.51955132411394
ESP_Beacon_one,-18,-1,-42.0
ESP_Beacon_one,-19,-1,-46.0
ESP_Beacon_one,0,-2,-36.33299223588766
ESP_Beacon_one,-1,-2,-50.33299223588766
ESP_Beacon_one,-2,-2,-44.33299223588766
ESP_Beacon_one,-3,-2,-45.086998765192305
ESP_Beacon_one,-4,-2,-47.519551324113934
ESP_Beacon_one,-5,-2,-47.519551324113934
ESP_Beacon_one,-6,-2,-49.81644866380495
ESP_Beacon_one,-7,-2,-47.519551324113934
ESP_Beacon_one,-8,-2,-42.93765782790578
ESP_Beacon_one,-9,-2,-47.81644866380495
ESP_Beacon_one,-10,-2,-44.33299223588766
ESP_Beacon_one,-11,-2,-42.0
ESP_Beacon_one,-12,-2,-42.0
ESP_Beacon_one,-13,-2,-42.55704196543415
ESP_Beacon_one,-14,-2,-41.81644866380495
ESP_Beacon_one,-15,-2,-45.086998765192305
ESP_Beacon_one,-16,-2,-43.196192788389226
