SSID,X,Y,RSSI (avg)
ESP_Beacon_three,0,1,-76.13514198909137
ESP_Beacon_three,0,2,-70.0
ESP_Beacon_three,0,3,-70.33299223588766
ESP_Beacon_three,0,4,-69.0869987651923
ESP_Beacon_three,0,5,-68.33299223588766
ESP_Beacon_three,0,6,-66.0
ESP_Beacon_three,0,7,-64.33299223588766
ESP_Beacon_three,0,8,-62.0
ESP_Beacon_three,0,9,-62.0
ESP_Beacon_three,0,10,-60.6936525217336
ESP_Beacon_three,0,11,-58.557041965434145
ESP_Beacon_three,0,12,-58.0
ESP_Beacon_three,0,13,-58.0
ESP_Beacon_three,0,14,-52.6936525217336
ESP_Beacon_three,0,15,-56.33299223588765
ESP_Beacon_three,0,16,-58.33299223588766
ESP_Beacon_three,0,19,-67.66193713943673
ESP_Beacon_three,0,20,-62.0
ESP_Beacon_three,0,21,-64.6936525217336
ESP_Beacon_three,0,22,-67.35486325106115
ESP_Beacon_three,0,23,-67.0869987651923
ESP_Beacon_three,0,24,-66.33299223588766
ESP_Beacon_three,0,25,-68.47908685027868
ESP_Beacon_three,1,1,-72.33299223588766
ESP_Beacon_three,1,2,-69.72383315632278
ESP_Beacon_three,1,3,-68.6936525217336
ESP_Beacon_three,1,4,-66.0
ESP_Beacon_three,1,5,-66.90112949065309
ESP_Beacon_three,1,6,-66.0
ESP_Beacon_three,1,7,-65.0869987651923
ESP_Beacon_three,1,8,-62.33299223588766
ESP_Beacon_three,1,9,-62.33299223588766
ESP_Beacon_three,1,10,-61.51955132411394
ESP_Beacon_three,1,11,-62.0
ESP_Beacon_three,1,12,-59.35486325106115
ESP_Beacon_three,1,13,-61.08699876519231
ESP_Beacon_three,1,14,-58.0
ESP_Beacon_three,1,15,-66.0
ESP_Beacon_three,1,16,-67.0869987651923
ESP_Beacon_three,1,21,-63.51955132411394
ESP_Beacon_three,1,22,-66.33299223588766
ESP_Beacon_three,1,23,-67.64034143198974
ESP_Beacon_three,1,24,-66.33886071494366
ESP_Beacon_three,1,25,-74.0
ESP_Beacon_three,2,1,-72.33299223588766
ESP_Beacon_three,2,2,-72.33299223588766
ESP_Beacon_three,2,3,-70.33299223588766
ESP_Beacon_three,2,4,-67.64034143198974
ESP_Beacon_three,2,5,-66.0
ESP_Beacon_three,2,6,-66.0
ESP_Beacon_three,2,7,-65.51955132411395
ESP_Beacon_three,2,8,-62.6936525217336
ESP_Beacon_three,2,9,-63.20394205564408
ESP_Beacon_three,2,10,-61.833923735416974
ESP_Beacon_three,2,11,-62.33299223588766
ESP_Beacon_three,2,12,-66.33886071494366
ESP_Beacon_three,2,13,-66.0
ESP_Beacon_three,2,14,-72.16005670251964
ESP_Beacon_three,2,15,-66.0
ESP_Beacon_three,2,16,-70.93765782790578
ESP_Beacon_three,2,17,-75.51955132411395
ESP_Beacon_three,2,21,-65.0869987651923
ESP_Beacon_three,2,22,-66.55704196543414
ESP_Beacon_three,2,23,-67.66193713943673
ESP_Beacon_three,2,24,-70.80034413966519
ESP_Beacon_three,2,25,-68.11102200875224
ESP_Beacon_three,3,1,-74.0
ESP_Beacon_three,3,2,-74.71101000645952
ESP_Beacon_three,3,3,-70.6936525217336
ESP_Beacon_three,3,4,-70.0
ESP_Beacon_three,3,5,-68.6936525217336
ESP_Beacon_three,3,6,-68.6936525217336
ESP_Beacon_three,3,7,-67.0869987651923
ESP_Beacon_three,3,8,-65.51955132411395
ESP_Beacon_three,3,9,-66.0
ESP_Beacon_three,3,10,-65.51955132411395
ESP_Beacon_three,3,11,-65.0869987651923
ESP_Beacon_three,3,12,-69.51955132411393
ESP_Beacon_three,3,13,-66.6936525217336
ESP_Beacon_three,3,14,-70.33299223588766
ESP_Beacon_three,3,15,-80.47908685027869
ESP_Beacon_three,3,16,-81.0869987651923
ESP_Beacon_three,3,17,-78.6936525217336
ESP_Beacon_three,3,21,-66.93765782790577
ESP_Beacon_three,3,22,-69.0869987651923
ESP_Beacon_three,3,23,-76.71101000645952
ESP_Beacon_three,3,24,-79.35486325106115
ESP_Beacon_three,3,25,-76.6936525217336
ESP_Beacon_three,4,1,-70.05325867871589
ESP_Beacon_three,4,2,-69.51955132411393
ESP_Beacon_three,5,2,-68.13514198909137
ESP_Beacon_three,6,2,-72.13514198909137
ESP_Beacon_three,6,3,-70.33299223588766
ESP_Beacon_three,6,4,-73.51955132411393
ESP_Beacon_three,6,5,-70.0
ESP_Beacon_three,6,6,-67.35486325106115
ESP_Beacon_three,6,7,-65.0869987651923
ESP_Beacon_three,6,8,-62.93765782790578
ESP_Beacon_three,6,9,-64.13514198909138
ESP_Beacon_three,6,10,-69.51955132411393
ESP_Beacon_three,6,11,-65.51955132411395
ESP_Beacon_three,6,12,-68.13514198909137
ESP_Beacon_three,6,13,-84.47908685027868
ESP_Beacon_three,6,14,-75.81644866380495
ESP_Beacon_three,6,15,-79.0869987651923
