SSID,X,Y,RSSI (avg)
ESP_Beacon_two,0,1,-49.519551324113934
ESP_Beacon_two,0,2,-48.0
ESP_Beacon_two,0,3,-49.519551324113934
ESP_Beacon_two,0,4,-48.0
ESP_Beacon_two,0,5,-52.0
ESP_Beacon_two,0,6,-49.086998765192305
ESP_Beacon_two,0,7,-52.33299223588766
ESP_Beacon_two,0,8,-56.33299223588765
ESP_Beacon_two,0,9,-48.6936525217336
ESP_Beacon_two,0,10,-50.0
ESP_Beacon_two,0,11,-59.519551324113934
ESP_Beacon_two,0,12,-57.086998765192305
ESP_Beacon_two,0,13,-64.0
ESP_Beacon_two,0,14,-60.33299223588766
ESP_Beacon_two,0,15,-63.196192788389226
ESP_Beacon_two,0,16,-52.33299223588766
ESP_Beacon_two,0,19,-45.519551324113934
ESP_Beacon_two,0,20,-46.0
ESP_Beacon_two,0,21,-49.3864851750093
ESP_Beacon_two,0,22,-50.0
ESP_Beacon_two,0,23,-52.0
ESP_Beacon_two,0,24,-52.0
ESP_Beacon_two,0,25,-59.519551324113934
ESP_Beacon_two,1,1,-47.519551324113934
ESP_Beacon_two,1,2,-50.0
ESP_Beacon_two,1,3,-49.086998765192305
ESP_Beacon_two,1,4,-50.0
ESP_Beacon_two,1,5,-49.519551324113934
ESP_Beacon_two,1,6,-48.0
ESP_Beacon_two,1,7,-52.0
ESP_Beacon_two,1,8,-56.6936525217336
ESP_Beacon_two,1,9,-49.086998765192305
ESP_Beacon_two,1,10,-50.0
ESP_Beacon_two,1,11,-50.0
ESP_Beacon_two,1,12,-52.85263186564026
ESP_Beacon_two,1,13,-54.33299223588766
ESP_Beacon_two,1,14,-52.0
ESP_Beacon_two,1,15,-49.086998765192305
ESP_Beacon_two,1,16,-50.33299223588766
ESP_Beacon_two,1,21,-46.557041965434145
ESP_Beacon_two,1,22,-46.0
ESP_Beacon_two,1,23,-51.51955132411394
ESP_Beacon_two,1,24,-50.0
ESP_Beacon_two,1,25,-56.33299223588765
ESP_Beacon_two,2,1,-50.0
ESP_Beacon_two,2,2,-50.6936525217336
ESP_Beacon_two,2,3,-49.342130599784504
ESP_Beacon_two,2,4,-52.0
ESP_Beacon_two,2,5,-50.33299223588766
ESP_Beacon_two,2,6,-48.6936525217336
ESP_Beacon_two,2,7,-52.33299223588766
ESP_Beacon_two,2,8,-55.51955132411394
ESP_Beacon_two,2,9,-55.51955132411394
ESP_Beacon_two,2,10,-49.519551324113934
ESP_Beacon_two,2,11,-52.0
ESP_Beacon_two,2,12,-58.0
ESP_Beacon_two,2,13,-58.33299223588766
ESP_Beacon_two,2,14,-50.6936525217336
ESP_Beacon_two,2,15,-48.33299223588766
ESP_Beacon_two,2,16,-64.6936525217336
ESP_Beacon_two,2,17,-52.0
ESP_Beacon_two,2,21,-46.95602057068755
ESP_Beacon_two,2,22,-47.519551324113934
ESP_Beacon_two,2,23,-49.086998765192305
ESP_Beacon_two,2,24,-50.0
ESP_Beacon_two,2,25,-56.33299223588765
ESP_Beacon_two,3,1,-50.6936525217336
ESP_Beacon_two,3,2,-48.6936525217336
ESP_Beacon_two,3,3,-50.0
ESP_Beacon_two,3,4,-50.0
ESP_Beacon_two,3,5,-49.086998765192305
ESP_Beacon_two,3,6,-50.0
ESP_Beacon_two,3,7,-50.0
ESP_Beacon_two,3,8,-56.0
ESP_Beacon_two,3,9,-63.81644866380495
ESP_Beacon_two,3,10,-65.51955132411395
ESP_Beacon_two,3,11,-60.0
ESP_Beacon_two,3,12,-56.6936525217336
ESP_Beacon_two,3,13,-57.086998765192305
ESP_Beacon_two,3,14,-56.0
ESP_Beacon_two,3,15,-57.086998765192305
ESP_Beacon_two,3,16,-57.519551324113934
ESP_Beacon_two,3,17,-49.086998765192305
ESP_Beacon_two,3,21,-52.0
ESP_Beacon_two,3,22,-49.519551324113934
ESP_Beacon_two,3,23,-61.08699876519231
ESP_Beacon_two,3,24,-54.0
ESP_Beacon_two,3,25,-63.51955132411394
ESP_Beacon_two,4,1,-46.33299223588765
ESP_Beacon_two,4,2,-45.086998765192305
ESP_Beacon_two,5,2,-53.81644866380495
ESP_Beacon_two,6,2,-48.135141989091366
ESP_Beacon_two,6,3,-49.086998765192305
ESP_Beacon_two,6,4,-49.519551324113934
ESP_Beacon_two,6,5,-52.0
ESP_Beacon_two,6,6,-53.08699876519231
ESP_Beacon_two,6,7,-58.135141989091366
ESP_Beacon_two,6,8,-56.33299223588765
ESP_Beacon_two,6,9,-54.13514198909137
ESP_Beacon_two,6,10,-54.14476363004597
ESP_Beacon_two,6,11,-55.81644866380494
ESP_Beacon_two,6,12,-68.0
ESP_Beacon_two,6,13,-61.08699876519231
ESP_Beacon_two,6,14,-59.20394205564407
ESP_Beacon_two,6,15,-53.51955132411394
ESP_Beacon_two,6,21,-50.0
ESP_Beacon_two,6,22,-58.6936525217336
ESP_Beacon_two,6,23,-54.93765782790578
ESP_Beacon_two,6,24,-56.86398418587007
ESP_Beacon_two,6,25,-53.51955132411394
ESP_Beacon_two,-1,1,-46.0
ESP_Beacon_two,-2,1,-46.33299223588765
ESP_Beacon_two,-3,1,-43.96908791613222
ESP_Beacon_two,-4,1,-45.519551324113934
ESP_Beacon_two,-5,1,-45.35486325106114
ESP_Beacon_two,-6,1,-45.086998765192305
ESP_Beacon_two,-7,1,-43.35486325106115
ESP_Beacon_two,-8,1,-45.086998765192305
ESP_Beacon_two,-9,1,-41.51955132411394
ESP_Beacon_two,-10,1,-42.0
ESP_Beacon_two,-11,1,-44.0
ESP_Beacon_two,-12,1,-43.94591378158853
ESP_Beacon_two,-13,1,-42.33299223588766
ESP_Beacon_two,-1,2,-49.519551324113934
ESP_Beacon_two,-2,2,-46.6936525217336
ESP_Beacon_two,-3,2,-46.0
ESP_Beacon_two,-4,2,-46.0
ESP_Beacon_two,-5,2,-46.0
ESP_Beacon_two,-6,2,-46.0
ESP_Beacon_two,-7,2,-49.086998765192305
ESP_Beacon_two,-8,2,-44.693652521733604
ESP_Beacon_two,-9,2,-45.519551324113934
ESP_Beacon_two,-10,2,-44.693652521733604
ESP_Beacon_two,-11,2,-44.33299223588766
ESP_Beacon_two,-12,2,-42.55704196543415
ESP_Beacon_two,-13,2,-45.519551324113934
ESP_Beacon_two,-14,2,-45.53279080303809
ESP_Beacon_two,-15,2,-55.95512476075741
ESP_Beacon_two,-16,2,-47.196192788389226
ESP_Beacon_two,-17,2,-56.71101000645952
ESP_Beacon_two,-18,2,-48.135141989091366
ESP_Beacon_two,-19,2,-53.830626420389905
ESP_Beacon_two,-1,3,-50.0
ESP_Beacon_two,-2,3,-48.33299223588766
ESP_Beacon_two,-3,3,-52.33299223588766
ESP_Beacon_two,-4,3,-48.0
ESP_Beacon_two,-5,3,-46.0
ESP_Beacon_two,-6,3,-48.6936525217336
ESP_Beacon_two,-7,3,-46.6936525217336
ESP_Beacon_two,-8,3,-46.9647798859399
ESP_Beacon_two,-9,3,-49.389299010641295
ESP_Beacon_two,-10,3,-48.0
ESP_Beacon_two,-11,3,-48.6936525217336
ESP_Beacon_two,-12,3,-49.85476304968805
ESP_Beacon_two,-13,3,-49.086998765192305
ESP_Beacon_two,-14,3,-51.51955132411394
ESP_Beacon_two,-15,3,-50.0
ESP_Beacon_two,-16,3,-56.28456074153284
ESP_Beacon_two,-17,3,-53.08699876519231
ESP_Beacon_two,-18,3,-53.08699876519231
ESP_Beacon_two,-19,3,-52.6936525217336
ESP_Beacon_two,-1,4,-46.0
ESP_Beacon_two,-2,4,-48.33299223588766
ESP_Beacon_two,-3,4,-49.086998765192305
ESP_Beacon_two,-4,4,-48.33299223588766
ESP_Beacon_two,-5,4,-45.519551324113934
ESP_Beacon_two,-6,4,-46.9647798859399
ESP_Beacon_two,-7,4,-46.33299223588765
ESP_Beacon_two,-8,4,-47.81644866380495
ESP_Beacon_two,-9,4,-49.086998765192305
ESP_Beacon_two,-10,4,-47.519551324113934
ESP_Beacon_two,-11,4,-51.64034143198975
ESP_Beacon_two,-12,4,-49.519551324113934
ESP_Beacon_two,-13,4,-50.33299223588766
ESP_Beacon_two,-14,4,-49.086998765192305
ESP_Beacon_two,-15,4,-45.519551324113934
ESP_Beacon_two,-16,4,-47.196192788389226
ESP_Beacon_two,-17,4,-45.519551324113934
ESP_Beacon_two,-18,4,-41.51955132411394
ESP_Beacon_two,-19,4,-40.33299223588766
ESP_Beacon_two,-1,5,-52.0
ESP_Beacon_two,-2,5,-50.33299223588766
ESP_Beacon_two,-3,5,-50.6936525217336
ESP_Beacon_two,-4,5,-55.086998765192305
ESP_Beacon_two,-5,5,-47.519551324113934
ESP_Beacon_two,-6,5,-48.33299223588766
ESP_Beacon_two,-7,5,-49.519551324113934
ESP_Beacon_two,-8,5,-53.08699876519231
ESP_Beacon_two,-9,5,-46.6936525217336
ESP_Beacon_two,-10,5,-56.135141989091366
ESP_Beacon_two,-11,5,-48.0
ESP_Beacon_two,-12,5,-45.519551324113934
ESP_Beacon_two,-13,5,-53.08699876519231
ESP_Beacon_two,-14,5,-52.33299223588766
ESP_Beacon_two,-15,5,-42.0
ESP_Beacon_two,-16,5,-47.81644866380495
ESP_Beacon_two,-17,5,-45.086998765192305
ESP_Beacon_two,-18,5,-42.0
ESP_Beacon_two,-19,5,-42.55704196543415
ESP_Beacon_two,-1,6,-49.519551324113934
ESP_Beacon_two,-2,6,-48.6936525217336
ESP_Beacon_two,-3,6,-50.0
ESP_Beacon_two,-4,6,-49.086998765192305
ESP_Beacon_two,-5,6,-48.33299223588766
ESP_Beacon_two,-6,6,-48.33299223588766
ESP_Beacon_two,-7,6,-49.81644866380495
ESP_Beacon_two,-8,6,-49.519551324113934
ESP_Beacon_two,-9,6,-48.33299223588766
ESP_Beacon_two,-10,6,-48.6936525217336
ESP_Beacon_two,-11,6,-54.693652521733604
ESP_Beacon_two,-12,6,-52.6936525217336
ESP_Beacon_two,-13,6,-51.51955132411394
ESP_Beacon_two,-14,6,-47.519551324113934
ESP_Beacon_two,-15,6,-46.557041965434145
ESP_Beacon_two,-16,6,-46.33299223588765
ESP_Beacon_two,-17,6,-46.6936525217336
ESP_Beacon_two,-18,6,-45.519551324113934
ESP_Beacon_two,-19,6,-45.519551324113934
ESP_Beacon_two,0,-1,-50.0
ESP_Beacon_two,-1,-1,-46.0
ESP_Beacon_two,-2,-1,-45.519551324113934
ESP_Beacon_two,-3,-1,-45.519551324113934
ESP_Beacon_two,-4,-1,-45.519551324113934
ESP_Beacon_two,-5,-1,-45.519551324113934
ESP_Beacon_two,-6,-1,-42.55704196543415
ESP_Beacon_two,-7,-1,-42.33299223588766
ESP_Beacon_two,-8,-1,-42.0
ESP_Beacon_two,-9,-1,-41.51955132411394
ESP_Beacon_two,-10,-1,-41.08699876519231
ESP_Beacon_two,-11,-1,-42.33299223588766
ESP_Beacon_two,-12,-1,-42.0
ESP_Beacon_two,-13,-1,-43.94591378158853
ESP_Beacon_two,-14,-1,-41.08699876519231
ESP_Beacon_two,-15,-1,-42.0
ESP_Beacon_two,-16,-1,-46.33299223588765
ESP_Beacon_two,-17,-1,-41.38194831758497
ESP_Beacon_two,-18,-1,-36.6936525217336
ESP_Beacon_two,-19,-1,-36.33299223588766
ESP_Beacon_two,0,-2,-48.6936525217336
ESP_Beacon_two,-1,-2,-47.086998765192305
ESP_Beacon_two,-2,-2,-53.51955132411394
ESP_Beacon_two,-3,-2,-53.08699876519231
ESP_Beacon_two,-4,-2,-50.0
ESP_Beacon_two,-5,-2,-46.0
ESP_Beacon_two,-6,-2,-46.0
ESP_Beacon_two,-7,-2,-46.0
ESP_Beacon_two,-8,-2,-42.6936525217336
ESP_Beacon_two,-9,-2,-46.6936525217336
ESP_Beacon_two,-10,-2,-43.94591378158853
ESP_Beacon_two,-11,-2,-48.6936525217336
ESP_Beacon_two,-12,-2,-46.0
ESP_Beacon_two,-13,-2,-43.35486325106115
ESP_Beacon_two,-14,-2,-42.96899155781724
ESP_Beacon_two,-15,-2,-38.0
ESP_Beacon_two,-16,-2,-38.33299223588766
ESP_Beacon_two,-17,-2,-37.38918814033913
ESP_Beacon_two,-18,-2,-36.13514198909137
ESP_Beacon_two,-19,-2,-38.557041965434145
ESP_Beacon_two,0,-3,-50.6936525217336
ESP_Beacon_two,-1,-3,-50.0
ESP_Beacon_two,-2,-3,-49.81644866380495
ESP_Beacon_two,-3,-3,-46.33299223588765
ESP_Beacon_two,-4,-3,-50.0
ESP_Beacon_two,-5,-3,-47.086998765192305
ESP_Beacon_two,-6,-3,-48.21215260790382
ESP_Beacon_two,-7,-3,-46.135141989091366
ESP_Beacon_two,-8,-3,-46.0
ESP_Beacon_two,-9,-3,-46.0
ESP_Beacon_two,-10,-3,-48.6936525217336
ESP_Beacon_two,-11,-3,-42.0
ESP_Beacon_two,-12,-3,-45.519551324113934
ESP_Beacon_two,-13,-3,-41.08699876519231
ESP_Beacon_two,-14,-3,-38.0
ESP_Beacon_two,-15,-3,-38.0
ESP_Beacon_two,-16,-3,-34.33299223588766
ESP_Beacon_two,-17,-3,-37.086998765192305
ESP_Beacon_two,-18,-3,-37.086998765192305
ESP_Beacon_two,-19,-3,-37.51955132411394
ESP_Beacon_two,0,-4,-53.08699876519231
ESP_Beacon_two,-1,-4,-56.6936525217336
ESP_Beacon_two,-2,-4,-53.67412020070306
ESP_Beacon_two,-3,-4,-50.6936525217336
ESP_Beacon_two,-4,-4,-50.33299223588766
ESP_Beacon_two,-5,-4,-54.693652521733604
ESP_Beacon_two,-6,-4,-48.0
ESP_Beacon_two,-7,-4,-49.086998765192305
ESP_Beacon_two,-8,-4,-48.6936525217336
ESP_Beacon_two,-9,-4,-43.81644866380495
ESP_Beacon_two,-10,-4,-45.086998765192305
ESP_Beacon_two,-11,-4,-40.33299223588766
ESP_Beacon_two,-12,-4,-38.96841513087224
ESP_Beacon_two,-13,-4,-37.086998765192305
ESP_Beacon_two,-14,-4,-35.086998765192305
ESP_Beacon_two,-15,-4,-34.33299223588766
ESP_Beacon_two,-16,-4,-34.557041965434145
ESP_Beacon_two,-17,-4,-34.0
ESP_Beacon_two,-18,-4,-36.6936525217336
ESP_Beacon_two,-19,-4,-37.51955132411394
ESP_Beacon_two,0,-5,-52.50606134191759
ESP_Beacon_two,-1,-5,-51.08699876519231
ESP_Beacon_two,-2,-5,-51.81644866380495
ESP_Beacon_two,-3,-5,-53.51955132411394
ESP_Beacon_two,-4,-5,-52.13514198909137
ESP_Beacon_two,-5,-5,-49.83062642038991
ESP_Beacon_two,-6,-5,-47.81644866380495
ESP_Beacon_two,-7,-5,-47.519551324113934
ESP_Beacon_two,-8,-5,-46.0
ESP_Beacon_two,-9,-5,-42.6936525217336
ESP_Beacon_two,-10,-5,-42.0
ESP_Beacon_two,-11,-5,-42.0
ESP_Beacon_two,-12,-5,-40.6936525217336
ESP_Beacon_two,-13,-5,-42.0
ESP_Beacon_two,-14,-5,-38.557041965434145
ESP_Beacon_two,-15,-5,-38.0
ESP_Beacon_two,-16,-5,-35.196192788389226
ESP_Beacon_two,-17,-5,-34.557041965434145
ESP_Beacon_two,-18,-5,-34.557041965434145
ESP_Beacon_two,-19,-5,-36.13514198909137
ESP_Beacon_two,0,-6,-53.51955132411394
ESP_Beacon_two,-1,-6,-48.739215621682206
ESP_Beacon_two,-2,-6,-55.412707267508736
ESP_Beacon_two,-3,-6,-52.36142112974052
ESP_Beacon_two,-4,-6,-46.0
ESP_Beacon_two,-5,-6,-45.519551324113934
ESP_Beacon_two,-6,-6,-46.33299223588765
ESP_Beacon_two,-7,-6,-47.81644866380495
ESP_Beacon_two,-8,-6,-45.85463963666009
ESP_Beacon_two,-9,-6,-43.196192788389226
ESP_Beacon_two,-10,-6,-42.014790855263435
ESP_Beacon_two,-11,-6,-44.21754764590332
ESP_Beacon_two,-12,-6,-42.968415130872245
ESP_Beacon_two,-13,-6,-44.96841513087225
ESP_Beacon_two,-14,-6,-39.35486325106115
ESP_Beacon_two,-15,-6,-38.96841513087224
ESP_Beacon_two,-16,-6,-36.0
ESP_Beacon_two,-17,-6,-33.51955132411394
ESP_Beacon_two,-18,-6,-34.0
ESP_Beacon_two,-19,-6,-36.6936525217336
ESP_Beacon_two,0,-7,-50.958256317158366
ESP_Beacon_two,-1,-7,-48.6936525217336
ESP_Beacon_two,-2,-7,-46.0
ESP_Beacon_two,-3,-7,-50.967379694976565
ESP_Beacon_two,-4,-7,-50.78587057203265
ESP_Beacon_two,-5,-7,-47.81644866380495
ESP_Beacon_two,-6,-7,-49.086998765192305
ESP_Beacon_two,-7,-7,-45.519551324113934
ESP_Beacon_two,-8,-7,-44.479086850278684
ESP_Beacon_two,-9,-7,-48.217429455917994
ESP_Beacon_two,-10,-7,-44.479086850278684
ESP_Beacon_two,-11,-7,-42.93765782790578
ESP_Beacon_two,-12,-7,-45.38194831758497
ESP_Beacon_two,-13,-7,-41.08699876519231
ESP_Beacon_two,-14,-7,-42.0
ESP_Beacon_two,-15,-7,-40.33299223588766
ESP_Beacon_two,-16,-7,-37.51955132411394
ESP_Beacon_two,-17,-7,-36.6936525217336
ESP_Beacon_two,-18,-7,-38.33299223588766
ESP_Beacon_two,-19,-7,-37.3894409568273
